year,state_abbr,state,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,homicide_rate,robbery_rate,aggravated_assault_rate,edu_staff_total
2019,HI,HAWAII,1415615,3745,37,1079,2004,40617,5534,29878,5205,264.54933014979355,2869.212321146639,2.613704997474596,76.2212889804078,141.56391391727269,0.0
2019,IA,IOWA,3159596,9086,70,919,6732,58446,12406,40479,5561,287.5684106449052,1849.7934546062215,2.215473117449193,29.085997070511542,213.06521466668525,0.0
2019,ID,IDAHO,1789060,4162,28,161,3055,22244,4045,16591,1608,232.63613294132116,1243.334488502342,1.5650676891775568,8.999139212770952,170.76006394419414,0.0
2019,IL,ILLINOIS,12667017,52601,851,12660,32929,235033,34789,181225,19019,415.2595674261746,1855.4723657511472,6.718235240388483,99.94460416371116,259.9585995661015,0.0
2019,IN,INDIANA,6731010,25006,373,5335,16745,131097,21586,95745,13766,371.5044250417099,1947.6571866629229,5.541516057768448,79.26002189864522,248.77395814298305,0.0
2019,KS,KANSAS,2912635,11811,95,1157,9059,66306,9996,49420,6890,405.5091008657109,2276.4953384134983,3.2616513912659846,39.72348062836573,311.02421003661635,0.0
2019,KY,KENTUCKY,4472345,9872,229,2162,5808,85387,15567,59535,10285,220.73431275986087,1909.222119492123,5.120356323136968,48.341530002716695,129.86475775012886,0.0
2019,LA,LOUISIANA,4658285,26072,547,4129,19114,148429,27440,110123,10866,559.6909592264105,3186.344330585184,11.742518974257694,88.63777119691045,410.32268313338494,0.0
2019,MA,MASSACHUSETTS,6894883,22662,153,3625,16640,81399,12323,62944,6132,328.6785287001969,1180.571156899979,2.2190369292705907,52.5752213634372,241.33839544485383,0.0
2019,MD,MARYLAND,6054954,27511,545,9215,15807,118091,16872,89938,11281,454.35522714127967,1950.3203492545117,9.000894143869631,152.18943034084157,261.058960976417,0.0
2019,ME,MAINE,1345770,1562,22,192,828,16791,2360,13705,726,116.06738149906744,1247.687197663791,1.6347518520995414,14.266925254686909,61.526115160837286,0.0
2019,MI,MICHIGAN,9984795,43793,576,5352,30509,158317,28574,111900,17843,438.59688656602367,1585.5808757215343,5.768771416939456,53.601501082395785,305.55459576285745,0.0
2019,MN,MINNESOTA,5640053,13395,127,3155,7614,117971,16026,90685,11260,237.4977681947315,2091.664741448352,2.251751889565577,55.93919064235743,134.9987313949,0.0
2019,MO,MISSOURI,6140475,30680,576,4995,22090,163223,26617,115324,21282,499.6356145086496,2658.1494102654924,9.380381810853397,81.34549851599428,359.744156600263,0.0
2019,MS,MISSISSIPPI,2978227,7779,298,1620,4937,69727,18341,45665,5721,261.1956711157343,2341.225165173776,10.005953206387558,54.39477917566391,165.76976838904488,0.0
2019,MT,MONTANA,1070123,4472,32,209,3552,23929,2968,18547,2414,417.8958867345156,2236.0980933967403,2.990310459638752,19.5304651895156,331.92446101990146,0.0
2019,NC,NORTH CAROLINA,10501384,39773,653,7700,28056,251135,54033,178332,18770,378.74055457832986,2391.446689312571,6.218227997376346,73.32366857549444,267.1647851368924,0.0
2019,ND,NORTH DAKOTA,763724,2302,25,184,1629,15270,2646,10785,1839,301.417789672709,1999.413400652592,3.273433858304833,24.092473197123567,213.29695020714288,0.0
2019,NE,NEBRASKA,1932571,5887,45,795,3763,39553,4763,29817,4973,304.6201148625329,2046.651843580391,2.328504360253776,41.13691036448337,194.71470905855463,0.0
2019,NH,NEW HAMPSHIRE,1360783,2152,33,327,1186,16552,1783,13826,943,158.14424489429982,1216.3585229974212,2.425074387319653,24.030282565258386,87.15570373821542,0.0
2019,NJ,NEW JERSEY,8891258,18382,263,5730,10852,118637,16399,91902,10336,206.74239798237767,1334.310622861242,2.957961629276757,64.44532371009817,122.05246996544248,0.0
2019,NM,NEW MEXICO,2099634,17302,185,2477,13285,66744,14640,42749,9355,824.0483817655838,3178.8397406405115,8.811059451313897,117.97294195083524,632.7293233011086,0.0
2019,NV,NEVADA,3090771,15334,144,3289,9746,72028,15630,45127,11271,496.12216498731226,2330.421762078135,4.659031678503519,106.41357771248664,315.3258523520507,0.0
2019,NY,NEW YORK,19463131,70260,565,18165,44888,269787,28065,228672,13050,360.9902230016332,1386.143884044145,2.902924508908664,93.33030744128476,230.6309298334374,0.0
2019,OH,OHIO,11696507,34618,584,8861,19323,240540,44232,177610,18698,295.9687024510822,2056.5114012243143,4.992943619834537,75.75765995779766,165.20316706517596,0.0
